Rk,Date,G,Age,Tm,,Opp,,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,SHFT,TOI,HIT,BLK,FOW,FOL,FO%
51,3/6/18,51,29-299,BOS_LW,,DET,W,3,2,5,2,2,2,1,0,1,1,1,0,6,50,26,19:38,0,1,0,1,0
52,3/8/18,52,29-301,BOS_LW,,PHI,W,1,0,1,1,4,1,0,0,1,0,0,0,4,25,24,19:25,0,0,2,4,33.3
53,3/10/18,53,29-303,BOS_LW,,CHI,W,0,2,2,0,2,0,0,0,0,1,1,0,4,0,22,20:17,0,0,2,4,33.3
54,3/13/18,54,29-306,BOS_LW,@,CAR,W,1,2,3,1,2,1,0,0,0,1,1,0,2,50,25,20:45,2,0,2,0,100
55,3/15/18,55,29-308,BOS_LW,@,FLA,L,0,0,0,-2,0,0,0,0,0,0,0,0,1,0,25,23:56,1,0,1,2,33.3
56,3/17/18,56,29-310,BOS_LW,@,TBL,W,0,1,1,0,0,0,0,0,0,0,1,0,1,0,26,17:30,0,2,2,0,100
57,3/19/18,57,29-312,BOS_LW,,CBJ,L-OT,1,1,2,0,0,1,0,0,0,0,1,0,8,12.5,23,21:16,0,0,1,0,100
58,3/21/18,58,29-314,BOS_LW,@,STL,L-OT,0,0,0,-1,0,0,0,0,0,0,0,0,2,0,21,19:41,0,1,0,1,0
59,3/23/18,59,29-316,BOS_LW,@,DAL,W,1,2,3,2,0,1,0,0,0,1,0,1,2,50,24,19:57,1,1,0,1,0
60,3/25/18,60,29-318,BOS_LW,@,MIN,W,1,1,2,2,0,1,0,0,1,1,0,0,2,50,25,19:18,0,0,1,0,100
61,3/27/18,61,29-320,BOS_LW,@,WPG,L-SO,0,2,2,-3,0,0,0,0,0,0,2,0,2,0,26,23:53,1,0,0,0,
62,3/29/18,62,29-322,BOS_LW,,TBL,W,1,1,2,2,0,1,0,0,0,1,0,0,3,33.3,26,20:30,0,0,1,1,50
63,3/31/18,63,29-324,BOS_LW,,FLA,W,0,0,0,0,4,0,0,0,0,0,0,0,1,0,21,15:26,1,0,1,0,100
64,4/1/18,64,29-325,BOS_LW,@,PHI,L-OT,0,0,0,-2,2,0,0,0,0,0,0,0,1,0,26,21:00,0,0,0,2,0
65,4/3/18,65,29-327,BOS_LW,@,TBL,L,0,0,0,-2,2,0,0,0,0,0,0,0,3,0,23,17:47,0,0,0,1,0
66,4/5/18,66,29-329,BOS_LW,@,FLA,L,0,1,1,-2,0,0,0,0,0,0,1,0,4,0,25,20:17,0,0,0,1,0
67,4/7/18,67,29-331,BOS_LW,,OTT,W,0,0,0,-1,0,0,0,0,0,0,0,0,1,0,22,17:26,0,0,1,0,100
68,4/8/18,68,29-332,BOS_LW,,FLA,L,0,0,0,-1,0,0,0,0,0,0,0,0,4,0,24,21:52,1,1,0,0,
1,10/13/16,1,28-155,BOS_LW,@,CBJ,W,2,3,5,5,0,2,0,0,1,3,0,0,7,28.6,22,17:12,1,1,0,0,
2,10/15/16,2,28-157,BOS_LW,@,TOR,L,0,1,1,-1,4,0,0,0,0,0,1,0,0,,21,16:38,0,0,0,0,
3,10/17/16,3,28-159,BOS_LW,@,WPG,W,0,1,1,3,0,0,0,0,0,1,0,0,2,0,28,21:21,0,0,3,0,100
4,10/20/16,4,28-162,BOS_LW,,NJD,W,1,1,2,2,2,1,0,0,0,1,0,0,2,50,21,17:57,1,1,0,1,0
5,10/22/16,5,28-164,BOS_LW,,MTL,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0,25,21:10,1,0,0,0,
6,10/25/16,6,28-167,BOS_LW,,MIN,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,24,17:53,2,0,0,0,
7,10/26/16,7,28-168,BOS_LW,@,NYR,L,0,1,1,-1,2,0,0,0,0,1,0,0,2,0,23,16:46,0,1,0,0,
8,10/29/16,8,28-171,BOS_LW,@,DET,W,0,0,0,0,2,0,0,0,0,0,0,0,2,0,25,17:32,2,0,2,0,100
9,11/1/16,9,28-174,BOS_LW,@,FLA,W,1,0,1,0,2,1,0,0,0,0,0,0,1,100,24,19:29,1,0,1,1,50
10,11/3/16,10,28-176,BOS_LW,@,TBL,W,0,1,1,2,0,0,0,0,0,1,0,0,5,0,29,23:38,1,2,0,1,0
