Rk,Date,G,Age,Tm,,Opp,,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,SHFT,TOI,HIT,BLK,FOW,FOL,FO%
63,3/3/18,63,21-282,BOS_RW,,MTL,W,0,0,0,-1,0,0,0,0,0,0,0,0,4,0,18,19:10,1,1,0,0,
64,3/6/18,64,21-285,BOS_RW,,DET,W,0,3,3,2,0,0,0,0,0,1,2,0,5,0,19,16:24,0,0,0,0,
65,3/8/18,65,21-287,BOS_RW,,PHI,W,0,2,2,1,0,0,0,0,0,2,0,0,4,0,23,17:51,1,0,0,0,
66,3/10/18,66,21-289,BOS_RW,,CHI,W,1,0,1,0,0,1,0,0,0,0,0,0,1,100,22,19:00,0,0,0,0,
67,3/11/18,67,21-290,BOS_RW,@,CHI,L,0,0,0,0,0,0,0,0,0,0,0,0,5,0,23,21:57,0,0,0,1,0
68,3/13/18,68,21-292,BOS_RW,@,CAR,W,3,1,4,1,2,2,1,0,1,1,0,0,6,50,22,17:36,2,0,0,0,
69,3/15/18,69,21-294,BOS_RW,@,FLA,L,0,0,0,-1,0,0,0,0,0,0,0,0,4,0,20,20:26,0,0,0,0,
70,3/17/18,70,21-296,BOS_RW,@,TBL,W,1,0,1,1,0,1,0,0,1,0,0,0,5,20,22,15:04,0,1,0,0,
71,3/19/18,71,21-298,BOS_RW,,CBJ,L-OT,0,1,1,1,0,0,0,0,0,1,0,0,3,0,20,19:26,0,0,0,0,
72,3/21/18,72,21-300,BOS_RW,@,STL,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,1,0,19,20:04,1,1,0,0,
73,3/23/18,73,21-302,BOS_RW,@,DAL,W,1,1,2,2,0,1,0,0,1,1,0,0,4,25,21,17:30,0,1,0,0,
74,3/25/18,74,21-304,BOS_RW,@,MIN,W,1,0,1,1,0,1,0,0,0,0,0,0,5,20,23,18:56,0,0,0,0,
75,3/27/18,75,21-306,BOS_RW,@,WPG,L-SO,1,0,1,-3,0,0,1,0,0,0,0,0,8,12.5,25,21:36,0,0,0,0,
76,3/29/18,76,21-308,BOS_RW,,TBL,W,1,1,2,1,5,0,1,0,0,1,0,0,4,25,18,15:14,1,1,0,0,
77,3/31/18,77,21-310,BOS_RW,,FLA,W,0,1,1,0,0,0,0,0,0,0,1,0,3,0,22,16:18,0,0,0,0,
78,4/1/18,78,21-311,BOS_RW,@,PHI,L-OT,1,0,1,-1,0,0,1,0,0,0,0,0,7,14.3,24,21:30,0,0,0,0,
79,4/3/18,79,21-313,BOS_RW,@,TBL,L,0,0,0,-1,2,0,0,0,0,0,0,0,1,0,20,16:06,0,0,0,0,
80,4/5/18,80,21-315,BOS_RW,@,FLA,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0,22,18:56,0,0,0,0,
81,4/7/18,81,21-317,BOS_RW,,OTT,W,1,0,1,-1,0,0,1,0,0,0,0,0,3,33.3,19,15:48,0,1,0,0,
82,4/8/18,82,21-318,BOS_RW,,FLA,L,1,0,1,-1,2,0,1,0,0,0,0,0,7,14.3,22,21:34,0,0,0,0,
1,10/13/16,1,20-141,BOS_RW,@,CBJ,W,2,2,4,6,0,2,0,0,0,2,0,0,8,25,20,15:11,1,0,0,1,0
2,10/15/16,2,20-143,BOS_RW,@,TOR,L,1,0,1,-1,0,0,1,0,0,0,0,0,6,16.7,17,14:19,0,1,0,0,
3,10/17/16,3,20-145,BOS_RW,@,WPG,W,1,0,1,2,0,1,0,0,1,0,0,0,1,100,22,17:24,0,0,0,0,
4,10/20/16,4,20-148,BOS_RW,,NJD,W,0,1,1,2,0,0,0,0,0,1,0,0,3,0,22,17:36,3,1,0,0,
5,10/22/16,5,20-150,BOS_RW,,MTL,L,0,0,0,0,0,0,0,0,0,0,0,0,3,0,20,17:07,2,0,0,0,
6,10/25/16,6,20-153,BOS_RW,,MIN,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0,20,16:08,0,0,0,0,
7,10/26/16,7,20-154,BOS_RW,@,NYR,L,1,0,1,-1,2,1,0,0,0,0,0,0,3,33.3,18,12:40,0,1,0,0,
