Rk,Date,G,Age,Tm,,Opp,,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,SHFT,TOI,HIT,BLK,FOW,FOL,FO%
77,3/28/18,77,20-327,TOR_RW,,FLA,W,1,1,2,2,2,1,0,0,0,1,0,0,2,50,26,19:49,0,0,1,1,50
78,3/30/18,78,20-329,TOR_RW,@,NYI,W,1,1,2,-1,0,1,0,0,0,0,1,0,5,20,21,17:12,0,0,1,0,100
79,3/31/18,79,20-330,TOR_RW,,WPG,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0,24,19:14,1,0,0,0,
80,4/2/18,80,20-332,TOR_RW,,BUF,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0,19,15:31,0,0,1,1,50
81,4/5/18,81,20-335,TOR_RW,@,NJD,L,0,0,0,-1,2,0,0,0,0,0,0,0,3,0,25,18:28,0,0,0,0,
82,4/7/18,82,20-337,TOR_RW,,MTL,W,0,0,0,2,2,0,0,0,0,0,0,0,1,0,25,16:54,0,0,0,0,
1,10/12/16,1,19-160,TOR_RW,@,OTT,L-OT,0,0,0,-2,0,0,0,0,0,0,0,0,6,0,23,17:36,0,1,0,0,
2,10/15/16,2,19-163,TOR_RW,,BOS,W,1,0,1,2,2,1,0,0,1,0,0,0,4,25,20,15:25,1,3,0,0,
3,10/19/16,3,19-167,TOR_RW,@,WPG,L-OT,0,1,1,-2,2,0,0,0,0,1,0,0,1,0,21,14:47,0,1,0,0,
4,10/20/16,4,19-168,TOR_RW,@,MIN,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0,22,17:28,0,1,0,0,
