Rk,Date,G,Age,Tm,,Opp,,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,SHFT,TOI,HIT,BLK,FOW,FOL,FO%,
5,10/30/17,5,32-098,BOS_C,@,CBJ,L-SO,1,1,2,0,0,0,1,0,0,0,1,0,4,25,33,22:08,1,0,13,14,48.1,
6,11/2/17,6,32-101,BOS_C,,VEG,W,0,0,0,0,2,0,0,0,0,0,0,0,2,0,25,19:43,0,3,9,9,50,
7,11/4/17,7,32-103,BOS_C,,WSH,L,0,1,1,0,0,0,0,0,0,1,0,0,5,0,26,23:21,1,2,9,13,40.9,
8,11/6/17,8,32-105,BOS_C,,MIN,W,0,1,1,-1,0,0,0,0,0,1,0,0,2,0,24,21:56,1,2,14,11,56,
9,11/8/17,9,32-107,BOS_C,@,NYR,L,1,1,2,2,0,1,0,0,0,1,0,0,2,50,28,20:39,1,1,13,6,68.4,
10,11/10/17,10,32-109,BOS_C,@,TOR,L-OT,1,0,1,1,0,1,0,0,0,0,0,0,6,16.7,28,22:49,1,1,19,9,67.9,
11,11/11/17,11,32-110,BOS_C,,TOR,L,0,0,0,0,0,0,0,0,0,0,0,0,4,0,22,20:26,0,0,13,9,59.1,
12,11/15/17,12,32-114,BOS_C,@,ANA,L,0,0,0,-1,0,0,0,0,0,0,0,0,6,0,22,18:47,1,1,10,9,52.6,
13,11/16/17,13,32-115,BOS_C,@,LAK,W,0,1,1,1,4,0,0,0,0,1,0,0,1,0,25,18:20,2,0,12,6,66.7,
14,11/18/17,14,32-117,BOS_C,@,SJS,W,0,0,0,2,0,0,0,0,0,0,0,0,1,0,26,20:59,2,3,14,10,58.3,
15,11/22/17,15,32-121,BOS_C,@,NJD,W,1,0,1,0,0,1,0,0,0,0,0,0,6,16.7,28,20:58,0,2,8,7,53.3,
16,11/24/17,16,32-123,BOS_C,,PIT,W,0,0,0,0,0,0,0,0,0,0,0,0,3,0,28,21:23,0,0,13,11,54.2,
17,11/26/17,17,32-125,BOS_C,,EDM,L,0,0,0,-2,0,0,0,0,0,0,0,0,4,0,23,19:37,0,0,10,7,58.8,
18,11/29/17,18,32-128,BOS_C,,TBL,W,0,0,0,2,0,0,0,0,0,0,0,0,4,0,26,22:57,0,1,16,12,57.1,
19,12/2/17,19,32-131,BOS_C,@,PHI,W,0,1,1,2,0,0,0,0,0,1,0,0,2,0,25,17:49,1,1,8,7,53.3,
20,12/4/17,20,32-133,BOS_C,@,NSH,L,0,1,1,1,0,0,0,0,0,1,0,0,1,0,26,21:22,1,0,11,14,44,
21,12/7/17,21,32-136,BOS_C,,ARI,W,0,2,2,1,0,0,0,0,0,1,1,0,1,0,21,16:09,1,1,10,11,47.6,
22,12/9/17,22,32-138,BOS_C,,NYI,W,0,1,1,1,0,0,0,0,0,1,0,0,3,0,29,21:52,0,3,15,9,62.5,
23,12/13/17,23,32-142,BOS_C,@,DET,W,0,0,0,1,2,0,0,0,0,0,0,0,3,0,25,21:53,4,0,13,12,52,
24,12/14/17,24,32-143,BOS_C,,WSH,L,2,0,2,-2,2,0,2,0,0,0,0,0,4,50,22,20:04,2,1,15,5,75,
25,12/16/17,25,32-145,BOS_C,,NYR,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,9,0,29,24:00:00,0,0,20,8,71.4,
26,12/18/17,26,32-147,BOS_C,,CBJ,W,1,1,2,2,0,1,0,0,0,1,0,0,5,20,21,17:53,0,0,10,6,62.5,
27,12/19/17,27,32-148,BOS_C,@,BUF,W,0,0,0,0,2,0,0,0,0,0,0,0,3,0,21,17:39,0,1,5,15,25,
28,12/21/17,28,32-150,BOS_C,,WPG,W,0,0,0,0,2,0,0,0,0,0,0,0,7,0,28,20:56,0,0,16,11,59.3,
29,12/23/17,29,32-152,BOS_C,,DET,W,2,0,2,1,2,2,0,0,1,0,0,0,6,33.3,22,17:21,0,0,15,5,75,
30,12/27/17,30,32-156,BOS_C,,OTT,W,0,0,0,0,2,0,0,0,0,0,0,0,2,0,22,17:28,0,0,5,7,41.7,
31,12/28/17,31,32-157,BOS_C,@,WSH,L-SO,0,0,0,0,0,0,0,0,0,0,0,0,2,0,27,24:00:00,0,1,17,8,68,
32,12/30/17,32,32-159,BOS_C,@,OTT,W,1,0,1,0,2,0,1,0,0,0,0,0,4,25,19,12:58,0,0,3,5,37.5,
33,1/2/18,33,32-162,BOS_C,@,NYI,W,1,0,1,1,0,1,0,0,1,0,0,0,2,50,20,14:22,2,1,12,5,70.6,
34,1/6/18,34,32-166,BOS_C,,CAR,W,4,1,5,4,0,3,0,1,0,0,1,0,7,57.1,19,14:18,1,0,13,4,76.5,
35,1/7/18,35,32-167,BOS_C,@,PIT,L-OT,0,1,1,1,0,0,0,0,0,1,0,0,3,0,25,18:12,0,1,14,9,60.9,
36,1/13/18,36,32-173,BOS_C,@,MTL,W,0,1,1,0,0,0,0,0,0,0,1,0,2,0,29,19:18,1,0,14,15,48.3,
37,1/15/18,37,32-175,BOS_C,,DAL,L-OT,0,0,0,-1,0,0,0,0,0,0,0,0,4,0,30,21:44,0,0,16,14,53.3,
38,1/17/18,38,32-177,BOS_C,,MTL,W,0,2,2,1,0,0,0,0,0,1,1,0,0,,23,17:16,0,0,14,11,56,
39,1/18/18,39,32-178,BOS_C,@,NYI,W,3,0,3,1,0,2,1,0,1,0,0,0,4,75,21,15:39,0,1,12,6,66.7,
40,1/20/18,40,32-180,BOS_C,@,MTL,W,0,1,1,2,0,0,0,0,0,1,0,0,1,0,23,15:41,0,1,12,6,66.7,
41,1/23/18,41,32-183,BOS_C,,NJD,W,1,0,1,0,0,0,1,0,0,0,0,0,3,33.3,24,17:43,1,1,15,9,62.5,
42,1/25/18,42,32-185,BOS_C,@,OTT,W,0,2,2,1,0,0,0,0,0,0,1,1,4,0,25,17:43,2,0,8,11,42.1,
43,1/30/18,43,32-190,BOS_C,,ANA,L,0,0,0,-1,0,0,0,0,0,0,0,0,4,0,25,22:26,1,1,11,11,50,
44,2/1/18,44,32-192,BOS_C,,STL,W,1,0,1,0,0,0,1,0,1,0,0,0,4,25,23,18:11,1,2,8,10,44.4,
45,2/3/18,45,32-194,BOS_C,,TOR,W,1,0,1,1,0,1,0,0,0,0,0,0,6,16.7,23,18:40,1,0,9,10,47.4,
46,2/6/18,46,32-197,BOS_C,@,DET,W,0,0,0,0,2,0,0,0,0,0,0,0,3,0,22,19:03,1,0,10,13,43.5,
47,2/7/18,47,32-198,BOS_C,@,NYR,W,2,0,2,2,0,1,0,1,0,0,0,0,7,28.6,20,18:10,0,1,6,10,37.5,
48,2/10/18,48,32-201,BOS_C,,BUF,L,0,1,1,-2,0,0,0,0,0,1,0,0,1,0,20,17:00,2,1,16,8,66.7,
49,2/11/18,49,32-202,BOS_C,@,NJD,W,1,1,2,0,2,1,0,0,0,0,1,0,4,25,29,17:25,1,1,10,9,52.6,
50,2/13/18,50,32-204,BOS_C,,CGY,W,2,0,2,0,0,1,1,0,1,0,0,0,6,33.3,24,19:56,0,1,13,6,68.4,
51,2/17/18,51,32-208,BOS_C,@,VAN,L,0,0,0,-1,0,0,0,0,0,0,0,0,3,0,18,19:38,0,0,7,8,46.7,
52,2/19/18,52,32-210,BOS_C,@,CGY,W,0,1,1,1,0,0,0,0,0,1,0,0,2,0,27,18:40,0,0,11,11,50,
53,2/20/18,53,32-211,BOS_C,@,EDM,W,0,0,0,0,0,0,0,0,0,0,0,0,3,0,24,18:42,1,0,17,8,68,
54,2/24/18,54,32-215,BOS_C,@,TOR,L,0,2,2,2,0,0,0,0,0,2,0,0,3,0,23,19:15,2,0,15,7,68.2,
55,2/25/18,55,32-216,BOS_C,@,BUF,L,0,0,0,0,0,0,0,0,0,0,0,0,3,0,21,17:59,1,0,12,7,63.2,
56,3/25/18,56,32-244,BOS_C,@,MIN,W,0,2,2,2,0,0,0,0,0,2,0,0,2,0,25,19:08,0,0,14,9,60.9,
57,3/27/18,57,32-246,BOS_C,@,WPG,L-SO,0,0,0,-2,0,0,0,0,0,0,0,0,2,0,25,22:07,1,0,11,13,45.8,
58,3/29/18,58,32-248,BOS_C,,TBL,W,1,2,3,2,0,1,0,0,1,1,1,0,1,100,26,19:48,2,1,12,9,57.1,
59,3/31/18,59,32-250,BOS_C,,FLA,W,1,0,1,0,0,0,1,0,0,0,0,0,2,50,24,16:10,0,0,17,7,70.8,
60,4/1/18,60,32-251,BOS_C,@,PHI,L-OT,1,0,1,-2,0,1,0,0,0,0,0,0,3,33.3,27,22:28,2,0,11,5,68.8,
61,4/3/18,61,32-253,BOS_C,@,TBL,L,0,0,0,-2,0,0,0,0,0,0,0,0,4,0,23,18:17,0,1,10,8,55.6,
62,4/5/18,62,32-255,BOS_C,@,FLA,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0,26,17:56,1,0,12,10,54.5,
63,4/7/18,63,32-257,BOS_C,,OTT,W,0,1,1,-1,0,0,0,0,0,0,1,0,3,0,22,17:41,0,0,12,8,60,
64,4/8/18,64,32-258,BOS_C,,FLA,L,0,1,1,-1,0,0,0,0,0,0,1,0,7,0,24,22:48,0,0,21,12,63.6,
1,10/20/16,1,31-088,BOS_C,,NJD,W,1,0,1,2,2,1,0,0,1,0,0,0,2,50,22,16:49,0,0,13,11,54.2,
2,10/22/16,2,31-090,BOS_C,,MTL,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,25,22:27,0,1,10,12,45.5,
3,10/25/16,3,31-093,BOS_C,,MIN,L,0,0,0,-1,0,0,0,0,0,0,0,0,6,0,24,17:28,0,2,14,8,63.6,
4,10/26/16,4,31-094,BOS_C,@,NYR,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0,24,17:13,2,1,20,8,71.4,
5,10/29/16,5,31-097,BOS_C,@,DET,W,0,0,0,0,0,0,0,0,0,0,0,0,6,0,28,17:13,1,0,16,9,64,
6,11/1/16,6,31-100,BOS_C,@,FLA,W,0,0,0,-1,0,0,0,0,0,0,0,0,1,0,26,18:43,1,0,14,10,58.3,
7,11/3/16,7,31-102,BOS_C,@,TBL,W,0,2,2,2,0,0,0,0,0,2,0,0,5,0,28,23:37,3,3,21,18,53.8,
8,11/5/16,8,31-104,BOS_C,,NYR,L,1,0,1,-1,0,1,0,0,0,0,0,0,7,14.3,20,16:52,0,0,12,9,57.1,
9,11/7/16,9,31-106,BOS_C,,BUF,W,0,0,0,0,0,0,0,0,0,0,0,0,6,0,20,19:06,2,2,9,8,52.9,
10,11/8/16,10,31-107,BOS_C,@,MTL,L,0,0,0,0,0,0,0,0,0,0,0,0,5,0,23,19:25,2,1,12,11,52.2,
11,11/10/16,11,31-109,BOS_C,,CBJ,W,0,0,0,-1,0,0,0,0,0,0,0,0,4,0,22,14:22,0,0,10,4,71.4,
12,11/12/16,12,31-111,BOS_C,@,ARI,W,0,0,0,1,2,0,0,0,0,0,0,0,2,0,24,16:33,0,0,19,5,79.2,
13,11/13/16,13,31-112,BOS_C,@,COL,W,0,0,0,0,0,0,0,0,0,0,0,0,3,0,25,19:13,0,0,11,14,44,
14,11/17/16,14,31-116,BOS_C,@,MIN,L,0,0,0,-1,0,0,0,0,0,0,0,0,5,0,24,18:24,0,1,8,11,42.1,
15,11/19/16,15,31-118,BOS_C,,WPG,W,1,0,1,1,0,0,1,0,0,0,0,0,6,16.7,22,18:37,0,0,16,5,76.2,
16,11/22/16,16,31-121,BOS_C,,STL,L,0,0,0,-1,0,0,0,0,0,0,0,0,5,0,23,18:30,0,1,14,10,58.3,
17,11/24/16,17,31-123,BOS_C,@,OTT,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0,23,18:04,1,0,11,10,52.4,
18,11/25/16,18,31-124,BOS_C,,CGY,L,0,0,0,0,0,0,0,0,0,0,0,0,3,0,25,22:04,1,1,22,14,61.1,
19,11/27/16,19,31-126,BOS_C,,TBL,W,0,1,1,1,0,0,0,0,0,0,1,0,2,0,22,15:18,0,0,11,4,73.3,
20,11/29/16,20,31-128,BOS_C,@,PHI,L-SO,0,0,0,0,0,0,0,0,0,0,0,0,2,0,33,22:14,2,2,18,12,60,
21,12/1/16,21,31-130,BOS_C,,CAR,W,0,0,0,1,0,0,0,0,0,0,0,0,3,0,25,20:03,1,0,14,5,73.7,
22,12/3/16,22,31-132,BOS_C,@,BUF,W,1,0,1,1,2,1,0,0,1,0,0,0,2,50,27,18:56,1,0,11,21,34.4,
23,12/5/16,23,31-134,BOS_C,,FLA,W,0,1,1,0,0,0,0,0,0,1,0,0,3,0,24,19:33,0,0,15,8,65.2,
